id;name;description;price;image
1;Directo;focus Hormigon;89532;Acero Dollar Videojuegos
2;reboot Inteligente Escalinata;Canarias;71454;generate navigating
3;payment;Web;28746;matrix
4;analizada;convergence;85882;orchestrate payment
5;invoice Granito AI;PCI;14408;Gerente Cuentas parse
6;Guapa Violeta;reboot Investment;26946;Consultor
7;XSS IB Cliente;Berkshire;32496;Metal de Ladrillo
8;Cambridgeshire Increible Hormigon;Librería;73022;migración input Proactivo
9;Metal;Mercados;63534;Berkshire
10;Opcional;Adelante Bedfordshire Guapa;57783;Avon Gris
